OTU ID	CCN1	CCN10a	CCN11	CCN12	CCN13	CCN14	CCN16	CCN17	CCN18	CCN19	CCN2	CCN20	CCN3	CCN4	CCN5	CCN6	CCN7	CCN8a	CCN9	CCP1	CCP10	CCP12	CCP13	CCP14	CCP15	CCP16	CCP17	CCP18	CCP19	CCP2	CCP20a	CCP3	CCP4	CCP5	CCP6a	CCP7	CCP8	CCP9
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	58.0	123.0	12.0	22.0	1329.0	153.0	632.0	27644.0	200.0	808.0	2278.0	11.0	2224.0	46.0	65.0	20.0	6.0	64.0	33.0	68.0	3.0	12.0	44.0	48.0	2570.0	46.0	82.0	85.0	144.0	37.0	1224.0	19.0	75.0	107.0	1623.0	10377.0	18.0	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae	6.0	6.0	0.0	790.0	0.0	32.0	0.0	5164.0	2087.0	406.0	281.0	15525.0	2601.0	0.0	157.0	18.0	0.0	15.0	0.0	5.0	10.0	149.0	72.0	0.0	121.0	0.0	0.0	0.0	96.0	141.0	222.0	82.0	13.0	129.0	18.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	22764.0	17037.0	12868.0	111.0	6679.0	198.0	1888.0	93437.0	149334.0	35399.0	11568.0	140496.0	44786.0	3278.0	20729.0	1483.0	0.0	1547.0	16.0	5309.0	721.0	15090.0	8887.0	0.0	8830.0	1048.0	2399.0	8316.0	7109.0	4581.0	16727.0	28953.0	3541.0	7787.0	5475.0	1711.0	2284.0	3.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	0.0	25759.0	13.0	613.0	14.0	24578.0	24888.0	9777.0	777.0	56390.0	8.0	44669.0	12783.0	75.0	7221.0	766.0	190.0	5996.0	8260.0	4.0	1199.0	18712.0	12853.0	283.0	863.0	378.0	14688.0	29261.0	20180.0	19686.0	16118.0	25344.0	34061.0	1947.0	7707.0	15.0	20407.0	628.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae	17.0	213.0	0.0	0.0	0.0	302.0	0.0	3865.0	106.0	1328.0	106.0	605.0	1521.0	0.0	1380.0	174.0	0.0	221.0	0.0	7.0	0.0	796.0	10.0	0.0	46.0	0.0	0.0	254.0	352.0	0.0	3833.0	594.0	0.0	896.0	58.0	0.0	84.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae	1080.0	251.0	166.0	0.0	1228.0	0.0	0.0	10739.0	10176.0	191.0	5087.0	130.0	1031.0	0.0	2390.0	16.0	3.0	0.0	0.0	791.0	0.0	164.0	296.0	0.0	638.0	19.0	173.0	259.0	38.0	0.0	1107.0	155.0	0.0	667.0	0.0	0.0	34.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	0.0	250.0	0.0	0.0	0.0	44.0	0.0	3669.0	0.0	40.0	40.0	24.0	0.0	0.0	0.0	148.0	99.0	10.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	13.0	53.0	0.0	22.0	0.0	101.0	0.0	252.0	76.0	929.0	9.0	5.0	147.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	6.0	45058.0	3.0	924.0	30.0	7.0	0.0	13076.0	1776.0	10334.0	523.0	27219.0	6033.0	0.0	136.0	334.0	0.0	4482.0	8.0	8.0	212.0	5314.0	9048.0	0.0	11043.0	32.0	1270.0	3624.0	2720.0	2303.0	9137.0	8657.0	2.0	2896.0	5913.0	0.0	315.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae	1006.0	3413.0	24035.0	57855.0	35269.0	19199.0	19047.0	4409.0	5659.0	35309.0	579.0	18.0	10895.0	23387.0	27622.0	118285.0	106140.0	50015.0	19844.0	564.0	30546.0	623.0	8262.0	1891.0	391.0	8219.0	26345.0	7809.0	8084.0	3763.0	5436.0	408.0	6671.0	11817.0	8377.0	52735.0	1172.0	482.0
