OTU ID	CCN1	CCN10a	CCN11	CCN12	CCN13	CCN14	CCN16	CCN17	CCN18	CCN19	CCN2	CCN20	CCN3	CCN4	CCN5	CCN6	CCN7	CCN8a	CCN9	CCP1	CCP10	CCP12	CCP13	CCP14	CCP15	CCP16	CCP17	CCP18	CCP19	CCP2	CCP20a	CCP3	CCP4	CCP5	CCP6a	CCP7	CCP8	CCP9
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1	45.0	58.0	0.0	9.0	1311.0	145.0	626.0	27604.0	164.0	25.0	2278.0	0.0	300.0	32.0	48.0	8.0	0.0	5.0	10.0	23.0	3.0	4.0	36.0	48.0	2563.0	46.0	68.0	85.0	7.0	17.0	140.0	9.0	57.0	107.0	1431.0	10364.0	7.0	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-010	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	115.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	28.0	0.0	62.0	0.0	0.0	34.0	13.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.0	25759.0	13.0	613.0	14.0	24578.0	24888.0	9777.0	777.0	56390.0	8.0	44669.0	12783.0	75.0	7221.0	766.0	190.0	5996.0	8260.0	4.0	1199.0	18712.0	12853.0	283.0	863.0	378.0	14688.0	29261.0	20180.0	19686.0	16118.0	25344.0	34061.0	1947.0	7707.0	15.0	20407.0	628.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	27.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	213.0	0.0	0.0	70.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia	0.0	83.0	0.0	0.0	781.0	0.0	0.0	7056.0	10146.0	181.0	2158.0	0.0	760.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	13.0	36.0	0.0	78.0	0.0	0.0	97.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;__;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.0	142.0	0.0	0.0	0.0	44.0	0.0	3669.0	0.0	40.0	40.0	24.0	0.0	0.0	0.0	146.0	99.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	53.0	0.0	22.0	0.0	101.0	0.0	252.0	76.0	925.0	9.0	5.0	147.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia	0.0	785.0	0.0	0.0	0.0	0.0	0.0	657.0	456.0	136.0	55.0	0.0	127.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	44.0	352.0	0.0	72.0	5.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__	0.0	489.0	0.0	0.0	578.0	113.0	0.0	2671.0	1829.0	3885.0	913.0	8342.0	2780.0	0.0	4709.0	319.0	0.0	95.0	0.0	0.0	54.0	465.0	682.0	0.0	1241.0	0.0	230.0	388.0	920.0	0.0	625.0	623.0	0.0	612.0	593.0	124.0	628.0	0.0
