SampleID	Actinobacteriota;Actinobacteria;Actinomycetales	Actinobacteriota;Actinobacteria;Bifidobacteriales	Actinobacteriota;Actinobacteria;Corynebacteriales	Actinobacteriota;Actinobacteria;Micrococcales	Actinobacteriota;Coriobacteriia;Coriobacteriales	Bacteroidota;Bacteroidia;Bacteroidales	Bacteroidota;Bacteroidia;Flavobacteriales	Campilobacterota;Campylobacteria;Campylobacterales	Cyanobacteria;Vampirivibrionia;Gastranaerophilales	Desulfobacterota;Desulfovibrionia;Desulfovibrionales	Elusimicrobiota;Elusimicrobia;Elusimicrobiales	Firmicutes;Bacilli;Acholeplasmatales	Firmicutes;Bacilli;Bacillales	Firmicutes;Bacilli;Erysipelotrichales	Firmicutes;Bacilli;Lactobacillales	Firmicutes;Bacilli;RF39	Firmicutes;Bacilli;Staphylococcales	Firmicutes;Clostridia;__	Firmicutes;Clostridia;Christensenellales	Firmicutes;Clostridia;Clostridia	Firmicutes;Clostridia;Clostridia_UCG-014	Firmicutes;Clostridia;Clostridia_vadinBB60_group	Firmicutes;Clostridia;Clostridiales	Firmicutes;Clostridia;Eubacteriales	Firmicutes;Clostridia;Lachnospirales	Firmicutes;Clostridia;Monoglobales	Firmicutes;Clostridia;Oscillospirales	Firmicutes;Clostridia;Peptococcales	Firmicutes;Clostridia;Peptostreptococcales-Tissierellales	Firmicutes;Incertae_Sedis;DTU014	Firmicutes;Negativicutes;Acidaminococcales	Firmicutes;Negativicutes;Veillonellales-Selenomonadales	Fusobacteriota;Fusobacteriia;Fusobacteriales	Patescibacteria;Saccharimonadia;Saccharimonadales	Proteobacteria;Alphaproteobacteria;Rhizobiales	Proteobacteria;Alphaproteobacteria;Rhodospirillales	Proteobacteria;Gammaproteobacteria;Aeromonadales	Proteobacteria;Gammaproteobacteria;Burkholderiales	Proteobacteria;Gammaproteobacteria;Enterobacterales	Proteobacteria;Gammaproteobacteria;Pasteurellales	Proteobacteria;Gammaproteobacteria;Pseudomonadales	Synergistota;Synergistia;Synergistales	Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales
CCN1	0	0.675683802	0	0.000122149	0.016471384	0	0	0	0	0	0	0	0.000310072	0.024664794	0.022785571	0	0.000526182	0	0	0	0	0	0.000544974	0	0.213893091	0	0.000216111	0	0.010147801	0	0	0.024570833	5.64E-05	9.40E-05	9.40E-05	0	0	0.00033826	0.009452489	2.82E-05	0	0	0
CCN10a	0	0.034982973	0	0.00033612	0.002786254	0.232055194	0	0.0194684	0	7.08E-05	0	0	6.19E-05	0.001202954	0.059714298	0	0.000159215	0	0	0	0.000176905	0	0.001087966	0	0.150696564	0.000221131	0.400433417	0	0.002220158	0	0.002697802	0.05047101	0.007058511	0.000106143	0	0	0	0.003493875	0.030188846	0.000283048	0	0	2.65E-05
CCN11	0	0.12009383	0	0.000314264	0	0.079362942	0	0.101922624	0	0	0	0	0.000291817	0.010224811	0.006554654	0	0.000437725	0	0	0	0	0	0.000134685	0	0.144426861	0	3.37E-05	0	0.001863138	0	0	0.005017004	0	0	3.37E-05	0	0	0.000673423	0.271142687	0	0	0	0.257472193
CCN12	0	0.003897245	0	4.14E-05	0.008166641	0.373494599	0	3.10E-05	0	0	0	0	0	2.07E-05	0.004538171	0	0	0	0	0	0	0	0.000227425	0	0.001147465	0	0.010285832	0	0	0	0	7.24E-05	0	0	0	0	0	0	0.598077221	0	0	0	0
CCN13	0.001037332	0.046402509	0	0.001037332	0	0.000168868	0	0	0	0	0	0	0	0.003124058	0.408286593	0	0.000446294	0	0	0	0	0	0.016030396	0	0.080562089	0	0.00036186	0	0.014884506	0	0	0.000856402	0	0.001001146	0	0	0	0	0.425414631	0.000289488	0	0	9.65E-05
CCN14	0.000357765	0.191727544	0	0.001084837	0.000496255	0.284192547	0	0	0	0	0	0	0	0.003381459	0.151704001	0	0.000219275	0	0	0	0	0	0.001765745	0.000150031	0.002285081	0	0.003566112	0	0.000173112	0	0	0.137174116	0	0	0	0	0	0	0.22172212	0	0	0	0
CCN16	0	0.143559336	0	8.45E-05	0	0.350525337	0	0	0	0	0	0	0	0	0.13993972	0	0.003408355	0	0	0	0	0	0.008901158	0	0.0265908	0	0	0	0	0	0	0.049604237	0	0	0	0	0	0.003239345	0.268260049	0	0	0	0.005887158
CCN17	0.000224384	0.031050731	2.04E-05	7.75E-05	0.034200273	0.062444159	0	0	0.001089285	4.08E-05	0	0	0	0.166970606	0.011459927	0.000191747	0.000118312	0	0.016575893	0	0.011439528	0	0.112779716	0.000628277	0.38150664	0.002353997	0.076988352	0.000228464	0.049686882	0	0	4.49E-05	0	0.002235685	0	0	0	5.30E-05	0.017987475	0.000195826	0	0	0.019407217
CCN18	0.000538655	0.05628063	5.30E-05	1.77E-05	0.022808954	0.020777959	0	0	0	9.27E-05	0	0	0	0.020243719	0.105841317	0	0.018190649	0	8.39E-05	0	0	0	0.000883041	0.008070997	0.659340368	0.000326725	0.012812928	0	0.046584838	0	0	0.00150117	1.32E-05	0.00043269	0	4.42E-05	0	7.51E-05	0.024985651	0	0	0	0
CCN19	0.000245477	0.002979979	0	0.000137011	0.004412881	0.367182549	0	9.70E-05	0.000639383	0.015584949	0	0	9.13E-05	0.04335242	0.005737317	0.005645976	0.000274021	0	0.005451878	0	0.017662943	0.000194098	0.004612688	6.85E-05	0.202084844	4.57E-05	0.07502469	0	0.001330144	0	0	0.014597332	5.71E-05	0.000119884	0	3.43E-05	0.006821983	0.021379354	0.201571054	0.000256895	0	0	0.002192169
