OTU ID	CCN1	CCN10a	CCN11	CCN12	CCN13	CCN14	CCN16	CCN17	CCN18	CCN19	CCN2	CCN20	CCN3	CCN4	CCN5	CCN6	CCN7	CCN8a	CCN9	CCP1	CCP10	CCP12	CCP13	CCP14	CCP15	CCP16	CCP17	CCP18	CCP19	CCP2	CCP20a	CCP3	CCP4	CCP5	CCP6a	CCP7	CCP8	CCP9
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	58.0	123.0	12.0	22.0	1329.0	153.0	632.0	27644.0	200.0	808.0	2278.0	11.0	2224.0	46.0	65.0	20.0	6.0	64.0	33.0	68.0	3.0	12.0	44.0	48.0	2570.0	46.0	82.0	85.0	144.0	37.0	1224.0	19.0	75.0	107.0	1623.0	10377.0	18.0	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales	1753.0	315.0	0.0	790.0	0.0	43.0	0.0	8383.0	5166.0	773.0	984.0	15968.0	3623.0	0.0	174.0	133.0	3.0	66.0	6918.0	2829.0	15.0	329.0	79.0	0.0	141.0	0.0	0.0	161.0	129.0	1969.0	651.0	253.0	18.0	537.0	47.0	0.0	76.0	67.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales	22764.0	17037.0	12868.0	111.0	6679.0	198.0	1888.0	93513.0	149334.0	35399.0	11568.0	140496.0	44786.0	3278.0	20729.0	1483.0	0.0	1547.0	16.0	5309.0	721.0	15090.0	8887.0	0.0	8830.0	1048.0	2399.0	8316.0	7109.0	4581.0	16749.0	28953.0	3541.0	7787.0	5475.0	1711.0	2284.0	3.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	0.0	26235.0	7071.0	36130.0	14.0	24625.0	24888.0	15306.0	4706.0	64319.0	48.0	47470.0	14569.0	80.0	7221.0	1223.0	294.0	35884.0	8260.0	10.0	1375.0	19450.0	12922.0	283.0	872.0	391.0	14741.0	29266.0	22815.0	24539.0	36304.0	26595.0	34313.0	5004.0	9886.0	24.0	21058.0	777.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales	23.0	45271.0	3.0	995.0	30.0	309.0	0.0	18871.0	2902.0	13142.0	1962.0	28499.0	7619.0	0.0	1516.0	546.0	0.0	4703.0	8.0	15.0	220.0	6911.0	9971.0	0.0	11125.0	32.0	1270.0	3947.0	3470.0	2303.0	14615.0	9924.0	2.0	6789.0	5971.0	0.0	399.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales	1080.0	251.0	166.0	0.0	1234.0	15.0	0.0	12179.0	10551.0	233.0	5653.0	305.0	1112.0	0.0	2390.0	42.0	8.0	0.0	0.0	791.0	0.0	164.0	296.0	0.0	745.0	21.0	173.0	259.0	42.0	0.0	2087.0	164.0	28.0	879.0	12.0	7.0	111.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales	1006.0	3413.0	24158.0	57855.0	35269.0	19212.0	19047.0	4409.0	5659.0	35309.0	579.0	18.0	10895.0	23410.0	27628.0	118285.0	106140.0	50015.0	19844.0	564.0	30546.0	623.0	8262.0	1891.0	391.0	8219.0	26378.0	7809.0	8084.0	4406.0	5436.0	408.0	6902.0	11817.0	8377.0	52735.0	1172.0	482.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales	6.0	798.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	10.0	0.0	8.0	596.0	0.0	225.0	254.0	67.0	20.0	0.0	0.0	0.0	10.0	10309.0	0.0	1251.0	0.0	293.0	23.0	0.0	0.0	265.0	225.0	2181.0	0.0	563.0	0.0	350.0	54.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	2425.0	6751.0	584.0	439.0	33849.0	13145.0	9936.0	2809.0	23972.0	1005.0	16521.0	8480.0	3952.0	21982.0	6748.0	3421.0	156.0	155.0	827.0	3309.0	32042.0	4208.0	2956.0	9130.0	2116.0	2804.0	4687.0	1015.0	267.0	1452.0	606.0	588.0	6300.0	12919.0	14535.0	8057.0	8431.0	62069.0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales	10.0	12.0	0.0	0.0	83.0	0.0	0.0	548.0	98.0	21.0	8.0	0.0	5.0	0.0	80.0	158.0	0.0	0.0	0.0	16.0	46.0	0.0	0.0	0.0	61.0	0.0	13.0	0.0	3.0	7.0	0.0	94.0	12.0	0.0	117.0	0.0	2053.0	0.0
