SampleID	Actinobacteriota	Bacteroidota	Campilobacterota	Cyanobacteria	Desulfobacterota	Elusimicrobiota	Firmicutes	Fusobacteriota	Patescibacteria	Proteobacteria	Synergistota	Verrucomicrobiota
CCN1	0.692277336	0	0	0	0	0	0.297659429	5.64E-05	9.40E-05	0.009912898	0	0
CCN10a	0.038105347	0.232055194	0.0194684	0	7.08E-05	0	0.669143337	0.007058511	0.000106143	0.033965769	0	2.65E-05
CCN11	0.120408095	0.079362942	0.101922624	0	0	0	0.168984365	0	0	0.271849782	0	0.257472193
CCN12	0.012105236	0.373494599	3.10E-05	0	0	0	0.016291932	0	0	0.598077221	0	0
CCN13	0.048477173	0.000168868	0	0	0	0	0.524552198	0	0.001001146	0.425704119	0	9.65E-05
CCN14	0.193666401	0.284192547	0	0	0	0	0.300418932	0	0	0.22172212	0	0
CCN16	0.143643841	0.350525337	0	0	0	0	0.228444269	0	0	0.271499394	0	0.005887158
CCN17	0.065573302	0.062444159	0	0.001089285	4.08E-05	0	0.830973217	0	0.002235685	0.018236338	0	0.019407217
CCN18	0.079698883	0.020777959	0	0	9.27E-05	0	0.873879641	1.32E-05	0.00043269	0.025104861	0	0
CCN19	0.007775348	0.367182549	9.70E-05	0.000639383	0.015584949	0	0.376173866	5.71E-05	0.000119884	0.230063539	0	0.002192169
CCN2	0.083649956	0.000985808	0	0	0	0	0.903185394	0	0.000164301	0.012014541	0	0
CCN20	0.112660497	0.181454002	0	0	0	0	0.704929876	3.06E-05	0	0.0001529	0	0.000772145
CCN3	0.065076651	0.14400087	0	0.001818667	0.000405246	0	0.647257668	0.0058909	4.94E-05	0.115455705	0	0.020044874
CCN4	0.232841942	0.000722635	4.52E-05	0	0	0	0.554558922	0	0	0.211831337	0	0
CCN5	0.141349328	0.070309533	0.010194444	0	0.001363154	0	0.477016251	0.002190783	0.000778945	0.275941306	0	0.020856255
CCN6	0.003137921	0.009522771	0	0	0.000101223	0	0.058374666	0.001977746	0.001230252	0.924004703	0.000482757	0.000926582
CCN7	0.000112354	0.00275268	0	0	0	0	0.002733954	0.000627311	0	0.9937737	0	0
CCN8a	0.015663576	0.367607437	0	0	0	0	0.102340829	0.000204887	0	0.513568611	0	0.00061466
CCN9	0.135100763	0.134676841	0	0	0	0	0.406117524	0	0	0.324104872	0	0
CCP1	0.840960449	0.000115884	0	0	0	0	0.151935846	0	0.000185415	0.006802406	0	0
CCP10	0.008373116	0.020706896	0.00307215	0	0	0	0.506061473	0	0.00069274	0.46023523	0	0.000858395
CCP12	0.075507015	0.334003057	0.000446482	0	0.000223241	0	0.539007092	0.000171724	0	0.013926811	0	0.036714578
CCP13	0.010124664	0.17800124	0.000978029	0	0	0	0.420263104	0.142007025	0	0.248625938	0	0
CCP14	0.470502967	0.009540183	0.140709277	0	0	0	0.31550027	0	0	0.063747303	0	0
CCP15	0.022803195	0.02110869	0.002396514	0	0	0	0.869668361	0.030283224	0.00147664	0.045146454	0	0.007116921
CCP16	0.02047269	0.015453324	0.430598372	0	0	0	0.196150502	0	0	0.337048455	0	0.000276658
CCP17	0.000557056	0.248835246	0.015698852	0	0.000118163	0	0.233896016	0.004945982	0.000219446	0.488757596	0	0.006971641
CCP18	0.027013385	0.509390284	0	0	0.000348111	0	0.254973631	0.000400327	0	0.136128662	0	0.071745601
CCP19	0.005249744	0.496983031	0	0.000261398	0.007166663	0	0.296142201	0	6.53E-05	0.192802841	0	0.001241641
CCP2	0.287977633	0.39430215	0.00339043	0	0	0	0.216650063	0	0.000112479	0.097567246	0	0
CCP20a	0.069891146	0.309386623	5.11E-05	1.70E-05	0.006195903	0.000144685	0.343685371	0.002255377	0	0.049073593	0.000365967	0.21406504
CCP3	0.038577569	0.309773683	0.001700581	0	0.000512504	0	0.572397004	0.002620759	0.001094895	0.054313769	0	0.019009237
CCP4	0.118526357	0.352517542	0.143398708	0	0	0	0.281557887	0.02240669	0.000123283	0.081469534	0	0
CCP5	0.059170772	0.099794587	3.99E-05	0	0	0	0.592924237	0	0	0.235665995	0.000179487	0.012225036
CCP6a	0.007428965	0.08419494	0.017044923	0	0.000433995	0	0.646158297	0.004790959	0.000995635	0.227370589	0.000433995	0.011147703
CCP7	0.000541734	0.000245313	0.001451438	0	0	0	0.458736227	0	0	0.539025288	0	0
CCP8	0.005873657	0.275473228	0.000601756	0	0	0	0.659013906	0.004578575	0.026856612	0.027497613	0	0.000104653
CCP9	0.197596106	0.008536679	0.044957646	0	0	0	0.742218658	0.000593283	0	0.006097628	0	0
