OTU ID	CCN1	CCN10a	CCN11	CCN12	CCN13	CCN14	CCN16	CCN17	CCN18	CCN19	CCN2	CCN20	CCN3	CCN4	CCN5	CCN6	CCN7	CCN8a	CCN9	CCP1	CCP10	CCP12	CCP13	CCP14	CCP15	CCP16	CCP17	CCP18	CCP19	CCP2	CCP20a	CCP3	CCP4	CCP5	CCP6a	CCP7	CCP8	CCP9
d__Bacteria;p__Firmicutes	31679.0	75650.0	15056.0	1576.0	43488.0	26031.0	16220.0	203684.0	197925.0	65894.0	43977.0	184416.0	65485.0	61393.0	48991.0	7497.0	292.0	9990.0	24908.0	13111.0	33604.0	31388.0	30509.0	9359.0	35926.0	4963.0	13856.0	14649.0	13595.0	13483.0	40382.0	49142.0	27406.0	29731.0	75932.0	44880.0	50377.0	67556.0
d__Bacteria;p__Actinobacteriota	73677.0	4308.0	10728.0	1171.0	4019.0	16781.0	10199.0	16073.0	18051.0	1362.0	4073.0	29473.0	6584.0	25777.0	14517.0	403.0	12.0	1529.0	8286.0	72569.0	556.0	4397.0	735.0	13957.0	942.0	518.0	33.0	1552.0	241.0	17922.0	8212.0	3312.0	11537.0	2967.0	873.0	53.0	449.0	17985.0
d__Bacteria;p__Bacteroidota	0.0	26235.0	7071.0	36130.0	14.0	24625.0	24888.0	15306.0	4706.0	64319.0	48.0	47470.0	14569.0	80.0	7221.0	1223.0	294.0	35884.0	8260.0	10.0	1375.0	19450.0	12922.0	283.0	872.0	391.0	14741.0	29266.0	22815.0	24539.0	36352.0	26595.0	34313.0	5004.0	9894.0	24.0	21058.0	777.0
d__Bacteria;p__Proteobacteria	1055.0	3840.0	24221.0	57855.0	35293.0	19212.0	19277.0	4470.0	5686.0	40300.0	585.0	40.0	11681.0	23451.0	28340.0	118669.0	106140.0	50132.0	19878.0	587.0	30561.0	811.0	18049.0	1891.0	1865.0	8528.0	28954.0	7821.0	8851.0	6072.0	5766.0	4663.0	7930.0	11817.0	26719.0	52735.0	2102.0	555.0
d__Bacteria;p__Fusobacteriota	6.0	798.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	10.0	0.0	8.0	596.0	0.0	225.0	254.0	67.0	20.0	0.0	0.0	0.0	10.0	10309.0	0.0	1251.0	0.0	293.0	23.0	0.0	0.0	265.0	225.0	2181.0	0.0	563.0	0.0	350.0	54.0
d__Bacteria;p__Patescibacteria	10.0	12.0	0.0	0.0	83.0	0.0	0.0	548.0	98.0	21.0	8.0	0.0	5.0	0.0	80.0	158.0	0.0	0.0	0.0	16.0	46.0	0.0	0.0	0.0	61.0	0.0	13.0	0.0	3.0	7.0	0.0	94.0	12.0	0.0	117.0	0.0	2053.0	0.0
d__Bacteria;p__Desulfobacterota	0.0	8.0	0.0	0.0	0.0	0.0	0.0	10.0	21.0	2730.0	0.0	0.0	41.0	0.0	140.0	13.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	7.0	20.0	329.0	0.0	728.0	44.0	0.0	0.0	51.0	0.0	0.0	0.0
d__Archaea;p__Euryarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	572.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Elusimicrobiota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Synergistota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	9.0	51.0	0.0	0.0	0.0
d__Bacteria;p__Cyanobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	267.0	0.0	112.0	0.0	0.0	184.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Verrucomicrobiota	0.0	3.0	22940.0	0.0	8.0	0.0	418.0	4757.0	0.0	384.0	0.0	202.0	2028.0	0.0	2142.0	119.0	0.0	60.0	0.0	0.0	57.0	2138.0	0.0	0.0	294.0	7.0	413.0	4122.0	57.0	0.0	25152.0	1632.0	0.0	613.0	1310.0	0.0	8.0	0.0
d__Bacteria;p__Campilobacterota	0.0	2201.0	9081.0	3.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	5.0	1047.0	0.0	0.0	0.0	0.0	0.0	204.0	26.0	71.0	4174.0	99.0	10895.0	930.0	0.0	0.0	211.0	6.0	146.0	13958.0	2.0	2003.0	142.0	46.0	4092.0
