OTU ID	CCN01	CCN02	CCN03	CCN04	CCN05	CCP01	CCP02	CCP03	CCP08	CCP18
Aspartate	180911.781	0	1603743.981	0	0	1929598.981	5221006.981	0	400638.981	0
N-Acetylglutamate	2104719.997	1138335.997	1395784.997	380580.7967	0	38716.99667	6631794.997	23237.49667	0	0
Hydroxyisocaproic acid	123802.5333	40472160.23	1974865.233	0	267363.5333	1483832.233	0	3778298.233	0	0
Sulfolactate	12489.6	0	0	27664.77	0	0	171337.02	0	0	0
Alanine/Sarcosine	0	1771749.94	484813.04	0	206475.94	165706.64	498889.84	639898.94	44729.04	0
Phenylpyruvate	14689.24667	64243.98667	184190.0667	0	646.9166667	0	0	237598.9667	12347.46667	0
N-Acetylglutamine	280493.1067	53395.12667	47726.14667	432.6066667	13055.13667	32081.39667	373625.9067	40948.75667	33813.22667	0
N-Acetyl-beta-alanine	18566.47123	58253.73123	24277.32123	40856.31123	45033.19123	0	895.9172333	1942.799233	2259.760233	0
Dimethylglycine	0	351100.8267	2228.656667	0	9874.866667	0	214080.5267	124708.1267	0	0
Dihydroorotate	96641.849	5264.581	0	0	0	0	0	0	0	0
N-Carbamoyl-L-aspartate	44111.2	6389.93	15878.78	5394.774	0	0	0	0	0	0
N-Acetylornithine	0	79332.26953	337308.3095	0	63653.58953	170203.2095	30764.33953	70419.54953	11386.16953	0
Xanthosine	0	2369.674	26684.03	0	1183.531	0	1942.45	21824.91	7036.468	0
Cystine	0	517.4177333	10314.80433	0	171543.8243	341602.8243	3493.463333	2044.604333	2350.191333	0
Tryptophan	8413.751	278051.7	401282.1	8081.091	110194.3	0	726183	132701.2	0	0
Indole	0	181.2082	281.071	0	421.1499	586.0203	784.4659	19.22093	74.68264	0
Glucose 6-phosphate	703.3152	66.51376	894.2541	3811.105	4568.753	1380.82	6446.109	132607.7	0	24.29738
Kynurenic acid	37949.68	52550.44	2924.693	15335.1	731.3255	8604.26	406019.8	8837.789	5767.99	44.29321
Thymine	0	823677.8497	1489899.65	10248.89967	110821.3497	0	0	0	0	57.17966667
Guanosine	427.3092	25850.63	0	122.5934	1078.325	229.0099	2769.172	41685	6172.053	147.5561
S-Ribosyl-L-homocysteine	213.9304	391.5584	57.70993	0	1190.063	1196.472	14512.96	2613.576	268.1937	150.7956
3-Methylthiopropionate	521.334	88533.5	116358	8.862642	0	12.27163	8704.169	1283.882	36.82211	210.4231
Glucosamine phosphate	0	27.15037	857.3766	1266.932	3441.957	6689.866	13461.81	4103.786	72.15639	227.7937
Ophthalmate	238.4227	507.1866	4765.822	0	2777.383	1507.196	543.8845	1644.718	0	316.7751
Orotate	327798	483699.4	530525.3	72088.48	19439.98	26155.4	3750.728	26178.52	272.0194	571.4025
Cysteate	1241.683	4727.302	1781.576	180.9522	2956.242	4347.155	9690.74	1521.677	469.2467	622.2227
Inosine	701.8513	54018.63	63504.24	1377.439	3859.859	11248.26	18338.6	236418.8	5038.488	670.0789
Phenyllactic acid	1179110.813	14862254.81	532099.8133	84823.61333	154329.8133	1148470.813	188349.8133	3443833.813	0	1456.993333
N-Acetylglucosamine	0	0	283529.778	85342.578	11676.878	0	1757855.478	57840.278	0	2967.798
Uridine	42265.84737	355052.4074	219390.4074	19019.20737	64344.60737	34909.64737	1082981.207	252129.8074	25299.26737	5811.657367
2-Dehydro-D-gluconate	54137.98233	706029.0523	532528.3523	89154.55233	445711.9523	1096602.352	1925111.352	4045295.352	479408.8523	6094.272333
Histidine	15207.619	0	195700.339	9069.709	430910.939	976906.139	329235.939	547499.939	361943.139	10391.919
Ornithine	3236.101333	201560.4323	304041.4323	0	18651.42233	273240.7323	2130.012333	74320.13233	4336.649333	10583.66233
Acetyllysine	5407.744667	196019.2047	458101.0047	0	115712.2047	152941.1047	98725.00467	158080.9047	1767.742667	12220.08467
Serine	0	73639.52133	292159.1213	0	66390.93133	237270.5213	105905.3213	55531.14133	4499.241333	15888.15133
Hypoxanthine	0	916468.3067	1252204.307	0	17596.90667	243621.9067	385346.5067	304907.5067	0	18367.40667
Glutamine	5682.442333	67575.29233	299071.9323	1232.887333	36823.57233	672420.6323	14928.26233	14481.77233	141275.9323	23677.01233
Creatinine	1471.986333	0	0	148124.6193	6374.711333	7808.043333	24158.61933	24491.13933	52986.19933	23890.57933
Homovanillic acid	5542170.757	1627915.757	163447.9573	132731.7573	10059.83733	65538.33733	256249.9573	524603.7573	35636.79733	29853.37733
Uric acid	0	2432994.177	0	3965733.177	1266829.177	3610174.177	22274.817	0	0	29925.797
Homoserine/Threonine	16652.33933	136627.1093	558475.9093	13070.62933	285382.3093	911815.4093	808295.5093	141112.5093	86491.71933	33293.66933
Uracil	40447.08	4860896.14	1623742.14	0	116963.44	412711.74	751760.94	341536.74	0	33716.1
Methionine	15627.36967	529020.0997	699804.9997	183.1216667	156949.1997	350507.1997	244590.0997	254404.5997	84641.85967	38167.67967
Arginine	0	0	38784.82167	0	289091.9517	255418.7517	114183.4517	3501.561667	125463.3517	38417.63167
Lysine	2752.015333	235015.9363	211973.9363	272.2293333	77369.99633	270916.6363	79177.07633	73588.69633	30053.17633	46741.79633
Hydroxyproline	0	153685.622	3087.38	3133.97	0	0	364.31	0	0	48832.032
Citrulline	21919.95367	846904.8737	1242599.274	0	67697.29367	134295.4737	18898.33367	295661.1737	48196.27367	50348.83367
Proline	0	724693.5547	314216.8547	0	155739.7547	568558.3547	698319.3547	0	93507.25467	54324.75467
Trehalose/Sucrose/Cellobiose	0	72335.67667	66952.17667	357.3306667	23062.42667	21395.32667	61930.32667	16631.87667	51604.21667	67748.34667
1-Methyladenosine	44427.71467	26022.08467	489705.9347	287322.4347	118379.1347	23715.02467	3234014.135	154867.6347	0	72950.77467
Gluconolactone	290847.2167	570561.4167	168965.3167	82989.29667	103290.5167	26577.78667	1197163.917	1015438.917	97104.96667	97580.48667
Xanthine	154747.4377	22900057.44	5350920.438	0	715610.1377	1365891.438	1095408.438	928216.6377	157765.9377	142931.7377
Glutamate	409489.498	3643290.698	0	0	1553936.698	1486287.698	1633374.698	671063.798	1561704.698	263808.098
Tyrosine	118039.3667	865127.6667	4219428.367	79659.46667	1213311.367	2477651.367	492403.1667	2734290.367	1638769.367	273234.6667
Valine	121836.9027	1947610.703	2056671.703	41288.51267	814787.8027	0	0	0	809489.3027	281618.1027
Phenylalanine	229802.5237	4982409.324	5473749.324	0	1888479.324	3669967.324	475831.6237	6323008.324	3289705.324	375051.2237
Malate	20232.46	194524.26	9184778.26	0	5023467.26	702719.26	4429568.26	2401436.26	385947.26	382368.26
Taurine	191757.3261	42182.21607	22468.18607	73034.81607	885463.6261	766164.2261	632031.2261	154270.6261	102984.7261	542186.7261
Leucine/Isoleucine	207880.352	9488337.552	11806187.55	0	4567271.552	4116500.552	3198161.552	7257249.552	4477897.552	585841.852
Succinate/Methylmalonate	3427197.133	4541020.133	1927450.133	0	7089083.133	8400337.133	24199452.13	8774552.133	9461122.133	7739148.133
