OTU ID	CCN1	CCN2	CCN3	CCN4	CCN5	CCP1	CCP2	CCP3	CCP8	CCP18	CCN6	CCN7	CCN8a	CCN9	CCN10a	CCN11	CCN12	CCN13	CCN14	CCN15	CCN16	CCN17	CCN18	CCN19	CCN20	CCP4	CCP5	CCP6a	CCP7	CCP9	CCP10	CCP12	CCP13	CCP14	CCP15	CCP16	CCP17	CCP19	CCP20a
1-Methyladenosine	41.70448061	9.806123995	302.4774826	348.8395767	92.8224336	17.96166161	1563.108199	103.7882929	0	63.45638304	106.2788951	181.7858188	0	0	9.30720119	4608.433377	2134.178528	4904.637205	677.0724662	2955.575236	932.2624245	307.439765	7.794662353	4143.038566	1657.429544	224.2955938	588.0309728	112.2840964	122.7039906	0	225.4096777	871.2661718	186.5780432	519.2586206	27.26850473	0.683994694	2.131911885	0	63.45703737
3-Methylthiopropionate	0.489378395	33.36283352	71.8710402	0.010760177	0	0.009294482	4.207018697	0.86042459	0.027169716	0.183036971	0	0	0	0	0	86.7563897	0	14.09875592	0	0	11.3703986	254.5131773	47.16673295	72.6784313	18.36223362	0	1478.172395	0.466582435	0	0	0	425.8383036	0.249195323	0	0	0	0	0	98.76641443
Citrulline	20.57635171	319.1463831	767.5183689	0	53.08222232	101.7148364	9.134202597	198.1444899	35.56230376	43.79603766	1004.456377	149.2504728	190.5648014	0	115.3099925	4784.382868	1347.823108	1100.641349	173.4589044	31.30288418	811.6080993	3651.250968	241.9658973	3839.815465	383.6248066	128.6008035	10848.76312	399.7339046	11.89966157	118.9880065	17567.42537	4674.03248	362.562425	271.7932575	41.83763046	130.2114079	675.0527787	79.15161766	730.6498809
Creatinine	1.381759695	0	0	179.8388265	4.998484074	5.91377973	11.67667622	16.41332966	39.09661831	20.78127011	11.91287826	0	3.085525233	1.61148394	3.299881143	0.756083855	0	12.14954332	22.92766762	0.392566015	0	0	0	0.221044273	0	123.2040781	2.248170581	51.33663324	0.523835161	1.570452173	261.8872198	0	691.0802742	0	1.41802017	3.842436992	21.94833814	0	14.09699376
Cysteate	1.165572998	1.781429511	1.100429023	0.219694953	2.318023167	3.292517219	4.683861764	1.019788663	0.34624033	0.541241709	1.639788592	26.92956371	0	0	0	113.1035984	5.066444411	30.99583918	1.519483998	7.640326147	3.37723878	57.17439874	1.168399797	72.96651225	0	0.796358885	170.4073027	6.614733762	1.077770901	87.77036427	208.0158183	49.98099174	18.50722824	51.49359247	0	12.43796134	843.8183917	0	20.30208679
Glucose-6-phosphate	0.660204905	0.025064947	0.552355423	4.627081266	3.582411487	1.045827358	3.115622075	88.87025898	0	0.021135127	0	0.426124906	0.538693245	0	0	0	0.569033472	0	20.83264835	0.41547684	0	1.00654009	0	1.799573753	0.556516215	104.2560274	113.6236885	235.5716103	0	120.0558844	44.09376789	15.02440613	484.0159382	2144.302342	0	34.10749344	40.14503584	0	1.093043103
Glutamine	5.334132261	25.46497346	184.7282599	1.496854556	28.87378427	509.2886061	7.215333105	9.705310155	104.2424494	20.59549841	2913.001239	739.4262432	28.95949139	0	95.16501325	485.9218732	78.11911752	243.9949243	50.53220946	78.38392208	99.07145692	828.9050215	187.4505264	327.9255981	457.2499138	1.928131886	2029.367712	166.6767162	0	140.904176	829.6708862	1219.184171	85.78963813	12.99931289	56.22103976	42.7147528	194.3249191	4.148564171	165.9546001
Guanosine	0.401116924	9.74151327	0	0.148841248	0.845526967	0.173451151	1.338434304	27.93621144	4.554136801	0.12835198	23.12369307	15.21927315	202.9905503	0	54.75721688	231.4495999	32.44107406	106.8586108	1.829031618	29.22205845	59.17406	12.30200408	23.2558793	198.0887051	107.5252678	0.74183083	262.9327513	342.3691708	30.42816731	0	9.57595458	154.0746734	29.73281308	3.188968677	145.2840965	0	51.09053117	0.9574624	15.18108392
Homoserine-Threonine	15.63162022	51.48635829	344.9547476	15.86911515	223.7715331	690.6052201	390.6765046	94.56996273	63.81914122	28.9605675	680.0786637	1808.132333	25.04092915	0	200.2621428	6480.073846	3030.179728	4107.070385	2097.791484	2360.443358	1063.124614	6625.539912	1387.97927	4489.021154	2797.843506	213.2057875	3793.966672	2817.244364	92.79888694	411.8681116	10053.79605	4048.608344	308.1629145	6764.971026	125.370946	122.0310319	2333.731971	55.51107549	517.796537
Homovanillic-acid	5202.458749	613.4613721	100.9571728	161.1502773	7.88803352	49.63846566	123.8542544	351.5759022	26.2951161	25.96802235	586.8385503	4037.924953	8333.552125	13842.25404	6496.207751	23805.5378	21192.86389	7214.1533	38866.49731	50222.51324	1778.228431	13619.34816	5660.572621	17357.01605	1182.781785	16071.0568	6929.597678	5370.749456	738.9263718	19701.87703	89620.51901	3776.727085	12617.31232	97679.83788	636.3863324	782.4969884	9190.956371	647.7890555	1074.087233
