OTUID	CCN1	CCN2	CCN3	CCN4	CCN5	CCP1	CCP2	CCP3	CCP8	CCP18	CCN6	CCN7	CCN8a	CCN9	CCN10a	CCN11	CCN12	CCN13	CCN14	CCN15	CCN16	CCN17	CCN18	CCN19	CCN20	CCP4	CCP5	CCP6a	CCP7	CCP9	CCP10	CCP12	CCP13	CCP14	CCP15	CCP16	CCP17	CCP19	CCP20a
1-Methyladenosine	44427.71467	26022.08467	489705.9347	287322.4347	118379.1347	23715.02467	3234014.135	154867.6347	0	72950.77467	906783.3333	2693184	0	0	32981.11429	97081730	22395625	75044440	6024471.111	42156882.35	3953583.333	6642010	200434.2	64877529.41	14291755.56	1277860	12050150	1343164	728533.8	0	9038672	30058118.18	3015461	23370083.33	157987.7	5062.783	77135.1	0	266828.7
3-Methylthiopropionate	521.334	88533.5	116358	8.862642	0	12.27163	8704.169	1283.882	36.82211	210.4231	0	0	0	0	0	1827619	0	215721	0	0	48220.13333	5498570	1212859	1138101.176	158334.6667	0	30291260	5581.349	0	0	0	14691145.45	4027.477	0	0	0	0	0	415300.1
Citrulline	21919.95367	846904.8737	1242599.274	0	67697.29367	134295.4737	18898.33367	295661.1737	48196.27367	50348.83367	8570133.333	2211168	2063815.385	0	408613.9286	100788300	14143775	16840596	1543406.667	446489.0588	3441906.667	78882591.67	6221981	60129235.29	3307936.667	732666.3	222316900	4781694	70652.19	2042304	704433800	161251090.9	5859708	12232500	242398	963797.1	24424210	381745	3072289
Creatinine	1471.986333	0	0	148124.6193	6374.711333	7808.043333	24158.61933	24491.13933	52986.19933	23890.57933	101642	0	33416.21538	11005.21	11693.5	15927.74	0	185896.66	204006.3333	5599.37	0	0	0	3461.422353	0	701920	46070.35	614098.7	3110.181	26955.16	10501380	0	11169190	0	8215.696	28440.9	794116.9	0	59276.05
Cysteate	1241.683	4727.302	1781.576	180.9522	2956.242	4347.155	9690.74	1521.677	469.2467	622.2227	13990.85833	398965.5	0	0	0	2382652	53166.2125	474258.4	13520.1	108977.8824	14322.35667	1235210.833	30044.57	1142612.353	0	4537.027	3492050	79126.72	6399.079	1506486	8341198	1724311.818	299112.5	2317553.333	0	92063.14	30530350	0	85367.67
Glucose-6-phosphate	703.3152	66.51376	894.2541	3811.105	4568.753	1380.82	6446.109	132607.7	0	24.29738	0	6313.104	5834.043846	0	0	0	5971.31875	0	185365.2222	5926.158824	0	21745.55833	0	28180.25882	4798.752222	593968.9	2328419	2817953	0	2060633	1768110	518332.2727	7822631	96507833.33	0	252456.4	1452495	0	4596.106
Glutamine	5682.442333	67575.29233	299071.9323	1232.887333	36823.57233	672420.6323	14928.26233	14481.77233	141275.9323	23677.01233	24854050	10954710	313631.0769	0	337227.9286	10236480	819765.75	3733296	449626.6667	1118030	420147	17907883.33	4820157	5135120.588	3942794.444	10984.98	41586560	1993819	0	2418472	33268860	42061063.64	1386526	585055.3333	325732.3	316165.5	7030906	20008.35455	697817.8
Guanosine	427.3092	25850.63	0	122.5934	1078.325	229.0099	2769.172	41685	6172.053	147.5561	197293.9167	225475.8	2198386.154	0	194038.3571	4875741	340429.875	1635012.8	16274.4	416809.1765	250948.2	265775.75	598008.4	3101951.765	927173.5556	4226.369	5388116	4095486	180662	0	383984.9	5315476.364	480539.6	143524.75	841744	0	1848516	4617.801818	63834.51
Homoserine-Threonine	16652.33933	136627.1093	558475.9093	13070.62933	285382.3093	911815.4093	808295.5093	141112.5093	86491.71933	33293.66933	5802506.667	26787750	271193.0769	0	709651.4286	136509900	31798075	62841100	18665777.78	33668211.76	4508550	143139916.7	35690900	70295411.76	24125366.67	1214679	77747380	33700420	550977.4	7069283	403145800	139674363.6	4980507	304468583.3	726371.6	903247.7	84437190	267727.6364	2177268
Homovanillic-acid	5542170.757	1627915.757	163447.9573	132731.7573	10059.83733	65538.33733	256249.9573	524603.7573	35636.79733	29853.37733	5006971.667	59822460	90252307.69	94532070	23020042.86	501489900	222393500	110381680	345827222.2	716349411.8	7541196.667	294236000	145557600	271800588.2	10198942.22	91560250	142003900	64245940	4387248	338162000	3593681000	130294636.4	203920100	4396240833	3687082	5791876	332539700	3124260	4516399
Hydroxyisocaproic-acid	123802.5333	40472160.23	1974865.233	0	267363.5333	1483832.233	0	3778298.233	0	0	117569583.3	430269100	487259692.3	61805330	63840214.29	1053062000	585699250	281140800	268523666.7	927534117.6	50452766.67	1006015000	3774255000	561538705.9	44628244.44	149322500	80187940	268584100	169003700	1696760000	8106535000	616802090.9	1165770000	10426116667	139792900	43609840	6036022000	93576000	40145070
Hydroxyproline	0	153685.622	3087.38	3133.97	0	0	364.31	0	0	48832.032	0	0	55426.57692	0	12618.57143	1008968	623971	1397493.2	178559	68554.58824	0	212283.6667	159618.9	269316.1765	211098.8889	110582.5	393630.3	81718.28	3706.209	0	2640746	661570.2727	4303016	0	0	0	5237192	0	858667.9
Hypoxanthine	0	916468.3067	1252204.307	0	17596.90667	243621.9067	385346.5067	304907.5067	0	18367.40667	4220762.5	4524908	5511147.692	2286822	571592.4286	189408400	47258800	43961100	1145486.667	17739388.24	13244326.67	339476166.7	81041760	106283352.9	52583922.22	2626337	126008600	2587155	3771942	2376462	141513200	328787818.2	10570340	89055250	673494.2	4248028	30829630	739915.4545	4249632
Kynurenic-acid	37949.68	52550.44	2924.693	15335.1	731.3255	8604.26	406019.8	8837.789	5767.99	44.29321	293438.1667	2772145	379796.4615	5894764	95583.85714	24588740	7151201.25	17087458	3552897.778	18500758.82	440430.3333	12621916.67	3837033	12631076.47	329907.8889	1072866	85094290	1681776	2604418	4083743	12267990	67762645.45	2344170	69833508.33	229051.3	71197.46	7939289	445166.7273	1954114
Leucine-Isoleucine	207880.352	9488337.552	11806187.55	0	4567271.552	4116500.552	3198161.552	7257249.552	4477897.552	585841.852	170893250	270394300	170842692.3	56867500	2885915	1390687000	193795000	283766800	91142388.89	199023117.6	64480433.33	1733138333	844159500	727741764.7	128582666.7	54213400	1052519000	345162800	21019330	237534100	1821931000	1943972727	283382400	848536666.7	53365260	82386120	2122068000	24480409.09	40895840
Lysine	2752.015333	235015.9363	211973.9363	272.2293333	77369.99633	270916.6363	79177.07633	73588.69633	30053.17633	46741.79633	3943955	1163228	8426.223077	0	4114.055714	11478420	4961976.25	671863.6	871341.1111	380170.1176	217508.5	4982344.167	1150538	9226600	1696696.667	68329.74	5421995	1136003	304154.6	15363.45	512084.6	851648.3636	1198705	0	8467.781	0	1009459	247087	664652.8
Malate	20232.46	194524.26	9184778.26	0	5023467.26	702719.26	4429568.26	2401436.26	385947.26	382368.26	23901383.33	225711100	383572153.8	94078500	5625410	396119200	57793425	692524000	27684100	59051235.29	31067710	1165475833	769024200	178439470.6	386781666.7	18758460	2061202000	225642200	30125520	42291970	1320642000	5186230909	100174800	4150764167	52516540	278676500	3523068000	18112936.36	71632100
N-Acetylglucosamine	0	0	283529.778	85342.578	11676.878	0	1757855.478	57840.278	0	2967.798	6514.480833	13428.34	0	0	32731.82857	86879230	21409100	44342620	4267043.333	30828047.06	4964936.667	7945275.833	1795618	61058941.18	11762155.56	652269.5	10905060	460317.6	349548.2	0	867167.3	19727909.09	1836547	30222516.67	72758.07	5608.97	68586.49	0	350152
N-Acetylglutamate	2104719.997	1138335.997	1395784.997	380580.7967	0	38716.99667	6631794.997	23237.49667	0	0	6516931.667	9794650	53152400	212640700	2849192.143	86983510	1745281.25	197033040	110359822.2	378051588.2	39059833.33	1377082500	623862200	42271182.35	20152911.11	42254560	802782200	46305270	90079430	162957800	576340800	4679086364	11324290	1380654167	6189373	4765840	260673300	4475209.091	46587540
N-Acetylornithine	0	79332.26953	337308.3095	0	63653.58953	170203.2095	30764.33953	70419.54953	11386.16953	0	2953371.667	7932631	3469659.231	498659.3	175789.7857	58453640	7151601.25	15649990	2078630	5825440.588	2209068.333	56784175	7597398	30363864.71	4613008.889	673814.6	57277020	4760256	2662575	2540766	25568080	16014590.91	1662176	18511300	778805.6	2234329	39647060	475873.3636	692807
Ornithine	3236.101333	201560.4323	304041.4323	0	18651.42233	273240.7323	2130.012333	74320.13233	4336.649333	10583.66233	2382080	217975.4	1338696.154	0	136004.6429	42545990	8211835	7476232	350377.6667	382723.4706	1715089.667	61264250	37720910	20180835.29	2779853.333	599245.6	88413980	2156321	286255.7	230661.1	188716000	123522727.3	2503953	917668.3333	229789.1	524485.3	12939320	613547.9091	2193641
